Main_Info,Extra_Info,Description,Properties
"Renault Megane,1.5 L,2008 il,324 733 km","ŞəhərSumqayıtMarkaRenaultModelMeganeBuraxılış ili2008Ban növüUniversal, 5 qapıRəngGümüşüMühərrik1.5 L / 85 a.g. / DizelYürüş324 733 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrVəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuMaşın saz vezyetedi şexsi maşnmdı özm getrmişem gelenende mendedi mator karopka xadavoy ela vezyetedi bütün funksyalar işlekdi sms matordu salon ter temiz çiçek kimi kasmetkası ela tekerler yaxşı bütün senedlerde qaydasındadı AllAh alana xeyir versin - Yüngül lehimli disklərABSMərkəzi qapanmaPark radarıKondisionerKsenon lampalarYan pərdələr - Düzəliş etElanı silElanın nömrəsi: 9404590",Maşın saz vezyetedi şexsi maşnmdı özm getrmişem gelenende mendedi mator karopka xadavoy ela vezyetedi bütün funksyalar işlekdi sms matordu salon ter temiz çiçek kimi kasmetkası ela tekerler yaxşı bütün senedlerde qaydasındadı AllAh alana xeyir versin,Yüngül lehimli disklərABSMərkəzi qapanmaPark radarıKondisionerKsenon lampalarYan pərdələr,7 800 AZN
"Haojue DL160,150 sm3,2024 il,yeni","ŞəhərBakıMarkaHaojueModelDL160Buraxılış ili2024Ban növüMotosikletRəngQırmızıMühərrik150 sm3/ 15 a.g. / BenzinYürüş0 kmSürətlər qutusuMexanikiÖtürücüArxaYeniBəliYerlərin sayı2VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxuKredit şərtləri:İlkin ödəniş - 50%Kredit müddəti - 1 ilə qədər 0%━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━• Ölçülər (Uzunluq × En × Hündürlük): 2025 mm × 775 mm × 1195 mm• Təkər bazası: 1345 mm• Boş kütlə (Curb Mass): 148 kq• Yerdən hündürlük (Ground Clearance): 160 mm• Oturacaq hündürlüyü: 795 mm• Yanacaq çəni tutumu: 13 litr• Əyləc tipi: Öndə: Disk, Arxada: Disk━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Təkər ölçüləri:• Ön: 100/80-17• Arxa: 130/70-17━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Mühərrik Məlumatları:• Mühərrik tipi: Tək silindrli, hava ilə soyudulan, 4 taktlı• Həcm (Mühərrik tutumu): 162 sm³• Silindr diametri və gedişi (Bore × Stroke): 60 mm × 57.4 mm• Maksimal güc: 11 kVt (8000 dövr/dəq)• Maksimal fırlanma anı: 14 N•m (6500 dövr/dəq)• Yanacaq təchizatı sistemi: Elektron yanacaq inyeksiyası (FI)• Sürət qutusu: 5 pilləli, geri dönüşlü ötürmə sistemi• Starter: Elektrikli; Elektrik və ayaqla start - Yüngül lehimli disklərABSMərkəzi qapanmaDəri salonKsenon lampalar - Düzəliş etElanı silElanın nömrəsi: 9420678","Kredit şərtləri:İlkin ödəniş - 50%Kredit müddəti - 1 ilə qədər 0%━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━• Ölçülər (Uzunluq × En × Hündürlük): 2025 mm × 775 mm × 1195 mm• Təkər bazası: 1345 mm• Boş kütlə (Curb Mass): 148 kq• Yerdən hündürlük (Ground Clearance): 160 mm• Oturacaq hündürlüyü: 795 mm• Yanacaq çəni tutumu: 13 litr• Əyləc tipi: Öndə: Disk, Arxada: Disk━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Təkər ölçüləri:• Ön: 100/80-17• Arxa: 130/70-17━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Mühərrik Məlumatları:• Mühərrik tipi: Tək silindrli, hava ilə soyudulan, 4 taktlı• Həcm (Mühərrik tutumu): 162 sm³• Silindr diametri və gedişi (Bore × Stroke): 60 mm × 57.4 mm• Maksimal güc: 11 kVt (8000 dövr/dəq)• Maksimal fırlanma anı: 14 N•m (6500 dövr/dəq)• Yanacaq təchizatı sistemi: Elektron yanacaq inyeksiyası (FI)• Sürət qutusu: 5 pilləli, geri dönüşlü ötürmə sistemi• Starter: Elektrikli; Elektrik və ayaqla start",Yüngül lehimli disklərABSMərkəzi qapanmaDəri salonKsenon lampalar,6 600 AZN
"Nissan Pathfinder,4.0 L,2006 il,195 000 km","ŞəhərGəncəMarkaNissanModelPathfinderBuraxılış ili2006Ban növüOffroader / SUV, 5 qapıRəngGümüşüMühərrik4.0 L / 269 a.g. / BenzinYürüş195 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı7Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxuMaşın ideal vəziyyətdədi əsil Ailə maşınıdı 7 yerlikdi. Hər bir funksiyası işləkdi, vaxtı vaxtında qulluq olunub. Gözel Maşındı.Satmağıma sebeb sadece ilini Tezelemekdi, Başqa sebeb axtarmayın. - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9443649","Maşın ideal vəziyyətdədi əsil Ailə maşınıdı 7 yerlikdi. Hər bir funksiyası işləkdi, vaxtı vaxtında qulluq olunub. Gözel Maşındı.Satmağıma sebeb sadece ilini Tezelemekdi, Başqa sebeb axtarmayın.",Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerası,15 500 AZN
"Lexus RX 350,3.5 L,2017 il,37 000 km","ŞəhərBakıMarkaLexusModelRX 350Buraxılış ili2017Ban növüOffroader / SUV, 5 qapıRəngBozMühərrik3.5 L / 301 a.g. / BenzinYürüş37 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxuLexus RX 350 F Sport 2017F Sport premium səviyyəsində prestijli, etibarlı və güclü krossover.Mühərrik: 3,5 V6, 302 at gücüSürücü: tam ötürücü (AWD), 8 pilləli avtomatik.Sərfiyyat: ~10l/100 kmAvadanlıqlar: dəri, F-Sport oturacaqları, Mark Levinson, HUD, 360° kameralar, adaptiv kruiz, açarsız giriş və s.Tam olarag FullHer seyi var0-100 6.9sCox dozumlu mator15 eded dinamiki varZolag tutma2018 ilde resmi Lexus salonunnan alinibVe yalniz orda gullug olunubUdar ve kraskadan sohbet gede bilmez cox ideal veziyetderReal aliciya cuzi endirim olacag - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9457009","Lexus RX 350 F Sport 2017F Sport premium səviyyəsində prestijli, etibarlı və güclü krossover.Mühərrik: 3,5 V6, 302 at gücüSürücü: tam ötürücü (AWD), 8 pilləli avtomatik.Sərfiyyat: ~10l/100 kmAvadanlıqlar: dəri, F-Sport oturacaqları, Mark Levinson, HUD, 360° kameralar, adaptiv kruiz, açarsız giriş və s.Tam olarag FullHer seyi var0-100 6.9sCox dozumlu mator15 eded dinamiki varZolag tutma2018 ilde resmi Lexus salonunnan alinibVe yalniz orda gullug olunubUdar ve kraskadan sohbet gede bilmez cox ideal veziyetderReal aliciya cuzi endirim olacag",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,53 900 USD
"Nissan Pathfinder,3.5 L,2012 il,281 915 km","ŞəhərSumqayıtMarkaNissanModelPathfinderBuraxılış ili2012Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik3.5 L / 249 a.g. / BenzinYürüş281 915 kmSürətlər qutusuVariatorÖtürücüTamYeniXeyrYerlərin sayı7VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxuTexniki ve elektron sistemi tam qaydasindadi.Istenilen servisde yoxlatdira bilersiniz.Kreditle mumkundur.Ilkin odenis - 9700Muddet 36aya qeder olur.Senedlesme 2saat erzinde tehvil verilir Avtosalon terefden.Unvan Bakı Sumqayıt şosesi masin bazarina çatmamış BRO Cars - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9480119",Texniki ve elektron sistemi tam qaydasindadi.Istenilen servisde yoxlatdira bilersiniz.Kreditle mumkundur.Ilkin odenis - 9700Muddet 36aya qeder olur.Senedlesme 2saat erzinde tehvil verilir Avtosalon terefden.Unvan Bakı Sumqayıt şosesi masin bazarina çatmamış BRO Cars,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,25 900 AZN
"BMW iX1,2025 il,yeni","ŞəhərBakıMarkaBMWModeliX1Buraxılış ili2025Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik204 a.g. / ElektroYürüş0 kmSürətlər qutusuReduktorÖtürücüTamYeniBəliYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuGömrük rüsumu qiymətə daxildirBMW iX1 eDrive25L M Sport- 4616*1845*1641 uzunuluğu*eni*hündürlüyü- 0-100km/s sürətlənmə 8.6s ərzində- Tam şarjla 510KM məsafə qət edir- Maksimum sürət həddi 170 km/s- 64.7kWs həcmində batareya- 204 at gücü- Zolaqdan çıxma xəbərdarlığı- Aktiv braking(safety) sistemi- 18"" Disklər- Head-Up display(opsional)- Arxa görüntü kamerası- Sport(M) oturacaqlar- Sürücü oturacağının yaddaş funksiyası- İnduktiv baqaj qapısının açılıb/bağlanması- Touch LCD mərkəzi idarəetmə ekranı- Harman Kardon səs sistemi(opsional)- Adaptiv Kruiz Kontrol- Adaptiv LED fənərlər- Panoramik Dam- Ambient işıqlandırma- Simsiz Şarj- Apple CarPlay-----------------------------------------------------------Zəhmət olmasa, iş vaxtlarında əlaqə saxlayın:İş saatları: 10:00 - 19:00 - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9381102","Gömrük rüsumu qiymətə daxildirBMW iX1 eDrive25L M Sport- 4616*1845*1641 uzunuluğu*eni*hündürlüyü- 0-100km/s sürətlənmə 8.6s ərzində- Tam şarjla 510KM məsafə qət edir- Maksimum sürət həddi 170 km/s- 64.7kWs həcmində batareya- 204 at gücü- Zolaqdan çıxma xəbərdarlığı- Aktiv braking(safety) sistemi- 18"" Disklər- Head-Up display(opsional)- Arxa görüntü kamerası- Sport(M) oturacaqlar- Sürücü oturacağının yaddaş funksiyası- İnduktiv baqaj qapısının açılıb/bağlanması- Touch LCD mərkəzi idarəetmə ekranı- Harman Kardon səs sistemi(opsional)- Adaptiv Kruiz Kontrol- Adaptiv LED fənərlər- Panoramik Dam- Ambient işıqlandırma- Simsiz Şarj- Apple CarPlay-----------------------------------------------------------Zəhmət olmasa, iş vaxtlarında əlaqə saxlayın:İş saatları: 10:00 - 19:00",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası,25 500 USD
"Infiniti QX55,2.0 L,2022 il,17 000 km","ŞəhərTovuzMarkaInfinitiModelQX55Buraxılış ili2022Ban növüSUV KupeRəngBozMühərrik2.0 L / 268 a.g. / BenzinYürüş17 000 kmSürətlər qutusuVariatorÖtürücüTamYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənibHansı bazar üçün yığılıbRəsmi diler - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9467909",,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası,36 400 USD
"Hyundai Sonata,2.0 L,2014 il,110 000 km","ŞəhərBakıMarkaHyundaiModelSonataBuraxılış ili2014Ban növüSedanRəngAğMühərrik2.0 L / 274 a.g. / BenzinYürüş110 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuSalam maşnin hec bir prablemi yoxdu - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9479732",Salam maşnin hec bir prablemi yoxdu,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,23 500 AZN
"Ford Transit,2.2 L,2014 il,111 000 km","ŞəhərBakıMarkaFordModelTransitBuraxılış ili2014Ban növüFurqonRəngAğMühərrik2.2 L / 155 a.g. / DizelYürüş111 000 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrYerlərin sayı3VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuYeni qelib. TREND. Uzunluqu 4.20Bezkraska. Orijinal probeq. Yuklu kutle 4.7t.Satishda bashka midellerde var.Satish EDV daxil mumkundur.Unvan: Nefciler, Bakcell arena. - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9423272","Yeni qelib. TREND. Uzunluqu 4.20Bezkraska. Orijinal probeq. Yuklu kutle 4.7t.Satishda bashka midellerde var.Satish EDV daxil mumkundur.Unvan: Nefciler, Bakcell arena.",Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerArxa görüntü kamerası,44 400 AZN
"Ford Fusion (North America),1.5 L,2021 il,96 000 km","ŞəhərBakıMarkaFordModelFusion (North America)Buraxılış ili2021Ban növüSedanRəngQaraMühərrik1.5 L / 184 a.g. / BenzinYürüş96 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuMaşın ölkəyə yeni gelibRastamoşka olunubideal vəziyətədiBir manat bele xerci yoxduNömrə AlınıbFORD FUSİON100%-Orginal probeqSuper vəziyyətdədirİstənilən yerdə və AvtoServizlərdə yoxlatdıra bilərsiniz.Masının rengi tund goy........................................................Böyük plazma ManitorArxa Görüntülü KamerasıDistronika mane görəndə tormuzlamaXət tutanArxa RadarStart StopAçarsız Daxil olmaAvto StopAvto Ekanomİşıqforda mühərikin sönübXoda düşməsiİki Zonalı Kilimıt KondisanerMulti rulRulda KəpənəklərAvto pilotKor NöqtəUsb bulutuz SistemiNaviqator yaddaş KartıPolirofka olunupKosmetkaya ehtiyac yoxduOtur sur masindiBez kraska......................................................Xaiş Edirəm SudaQalmış və Udar Görmüş vəAerabakları AtmışMaşınlarla müqaisə etməyi - Yüngül lehimli disklərABSMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerasıYan pərdələr - Düzəliş etElanı silElanın nömrəsi: 9472735",Maşın ölkəyə yeni gelibRastamoşka olunubideal vəziyətədiBir manat bele xerci yoxduNömrə AlınıbFORD FUSİON100%-Orginal probeqSuper vəziyyətdədirİstənilən yerdə və AvtoServizlərdə yoxlatdıra bilərsiniz.Masının rengi tund goy........................................................Böyük plazma ManitorArxa Görüntülü KamerasıDistronika mane görəndə tormuzlamaXət tutanArxa RadarStart StopAçarsız Daxil olmaAvto StopAvto Ekanomİşıqforda mühərikin sönübXoda düşməsiİki Zonalı Kilimıt KondisanerMulti rulRulda KəpənəklərAvto pilotKor NöqtəUsb bulutuz SistemiNaviqator yaddaş KartıPolirofka olunupKosmetkaya ehtiyac yoxduOtur sur masindiBez kraska......................................................Xaiş Edirəm SudaQalmış və Udar Görmüş vəAerabakları AtmışMaşınlarla müqaisə etməyi,Yüngül lehimli disklərABSMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerasıYan pərdələr,22 900 AZN
"Volkswagen Transporter,2.0 L,2018 il,127 000 km","ŞəhərBakıMarkaVolkswagenModelTransporterBuraxılış ili2018Ban növüMinivanRəngQaraMühərrik2.0 L / 150 a.g. / DizelYürüş127 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrVəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxuVurulmayıb !Əlavə xərc tələb olunmunr !===========================TEST DRİVE MÜMKÜNDÜR !DAHA ƏTRAFLI MƏLUMAT AŞAĞIDAKİ GÖSTƏRİLƏN ÜNVANDA ALA BİLƏRSİNİZ!ÜNVAN - BAKI AVTOMOBİL SATIŞ MƏRKƏZİ (BADAMDAR MAŞIN BAZARI)AVTOSALON - BADAMDAR RƏSMİ DİLER STUDIO360==========================QEYD 1:- Müraciyyət etdiyiniz zaman avotmobil stokda olmadığı halda sifarişlə qətirilə bilər ! Daha ətraflı məlumat almaq üçün bizimlə əlaqə saxlayın !QEYD 2:Avtomobiliniz üçün peşəkar foto çəkiliş etmək təklif edirik !Elanınız diqər elanlardan fərqlənsin, baxışların və satış şanslarınız artsın !AVTOSALON ""BADAMDAR RƏSMİ DİLER STUDİO360"" - avtomobilinizin satışında köməkçinizdir!Avtomobilinizi bizim salona satış məqsədi ilə yerləşdirə bilərsiniz ! - Düzəliş etElanı silElanın nömrəsi: 7744055","Vurulmayıb !Əlavə xərc tələb olunmunr !===========================TEST DRİVE MÜMKÜNDÜR !DAHA ƏTRAFLI MƏLUMAT AŞAĞIDAKİ GÖSTƏRİLƏN ÜNVANDA ALA BİLƏRSİNİZ!ÜNVAN - BAKI AVTOMOBİL SATIŞ MƏRKƏZİ (BADAMDAR MAŞIN BAZARI)AVTOSALON - BADAMDAR RƏSMİ DİLER STUDIO360==========================QEYD 1:- Müraciyyət etdiyiniz zaman avotmobil stokda olmadığı halda sifarişlə qətirilə bilər ! Daha ətraflı məlumat almaq üçün bizimlə əlaqə saxlayın !QEYD 2:Avtomobiliniz üçün peşəkar foto çəkiliş etmək təklif edirik !Elanınız diqər elanlardan fərqlənsin, baxışların və satış şanslarınız artsın !AVTOSALON ""BADAMDAR RƏSMİ DİLER STUDİO360"" - avtomobilinizin satışında köməkçinizdir!Avtomobilinizi bizim salona satış məqsədi ilə yerləşdirə bilərsiniz !",,25 900 USD
"Kia K5,2.0 L,2014 il,180 000 km","ŞəhərBakıMarkaKiaModelK5Buraxılış ili2014Ban növüSedanRəngAğMühərrik2.0 L / 165 a.g. / BenzinYürüş180 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbKoreya - Davamını oxuSalam. Maşın yaxşı vəziyyətdədir, hec bir prablemi yoxdu, sənədləri qaydasındadır, öz adimadi. Polnu full.2.0 sade mator matorda karobkada prablem yoxdu. Karobka, mator yağı yeni dəyişib. Təkərlər teze. Nömrəsiz satılır. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9439123","Salam. Maşın yaxşı vəziyyətdədir, hec bir prablemi yoxdu, sənədləri qaydasındadır, öz adimadi. Polnu full.2.0 sade mator matorda karobkada prablem yoxdu. Karobka, mator yağı yeni dəyişib. Təkərlər teze. Nömrəsiz satılır.",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,26 000 AZN
"Mercedes C 180,1.6 L,2017 il,75 000 km","ŞəhərBakıMarkaMercedesModelC 180Buraxılış ili2017Ban növüSedanRəngQaraMühərrik1.6 L / 156 a.g. / BenzinYürüş75 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxuAvtomobil 2017-ci il oktyabr ayınin istehsalı olmaqla, 2018-ci ildə Azərbaycana gətirilib. Ölkəyə gələrkən yürüşü 25,000 km olub. 2018-ci ildən 2022-ci ilədək burada ilk sahibində olub və 4 il ərzində cəmi 30,000 km sürülüb.Mən ikinci sahibiyəm və maşını 53,000 km yürüşlə almışıam. 2 il yarım maşın məndədir və 22,000 km sürmüşəm (əksərən istirahət günləri).Avtomobil rəsmi ""Mercedes-Benz"" servisində xidmət olunub və servislə bağlı bütün çıxarışları mövcuddur. Benzin tələbi 95 olsada, yalnız 98 istifadə olunub; mühərrik yağı hər dəfəsində vaxtında tez dəyişdirilib.Garaj şəraitində 24 saat saxlanılır, salon mütəmadi olaraq kimyəvi təmizlik görür, ən azı həftədə 1 dəfə keyfiyyətli təmizləyici vasitələrlə təmizlənir və yüksək dərcədə səliqəlidir.Xahiş edirəm 22:00 dan sonra zəng etməyin. - ABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9456990","Avtomobil 2017-ci il oktyabr ayınin istehsalı olmaqla, 2018-ci ildə Azərbaycana gətirilib. Ölkəyə gələrkən yürüşü 25,000 km olub. 2018-ci ildən 2022-ci ilədək burada ilk sahibində olub və 4 il ərzində cəmi 30,000 km sürülüb.Mən ikinci sahibiyəm və maşını 53,000 km yürüşlə almışıam. 2 il yarım maşın məndədir və 22,000 km sürmüşəm (əksərən istirahət günləri).Avtomobil rəsmi ""Mercedes-Benz"" servisində xidmət olunub və servislə bağlı bütün çıxarışları mövcuddur. Benzin tələbi 95 olsada, yalnız 98 istifadə olunub; mühərrik yağı hər dəfəsində vaxtında tez dəyişdirilib.Garaj şəraitində 24 saat saxlanılır, salon mütəmadi olaraq kimyəvi təmizlik görür, ən azı həftədə 1 dəfə keyfiyyətli təmizləyici vasitələrlə təmizlənir və yüksək dərcədə səliqəlidir.Xahiş edirəm 22:00 dan sonra zəng etməyin.",ABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerası,40 000 AZN
"Kia Rio,1.6 L,2017 il,85 000 km","ŞəhərBakıMarkaKiaModelRioBuraxılış ili2017Ban növüHetçbek, 5 qapıRəngAğMühərrik1.6 L / 123 a.g. / BenzinYürüş85 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuOrjınal probeq ölkeye yenı gelıb cox ekanom ve baxımlı avtomobildir tekerlerıne kımı tezedır taksıye yararlıdır xaış olunur real alıcılar narahat etsın . Zeng catmazsa Wpa yazın - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9450556",Orjınal probeq ölkeye yenı gelıb cox ekanom ve baxımlı avtomobildir tekerlerıne kımı tezedır taksıye yararlıdır xaış olunur real alıcılar narahat etsın . Zeng catmazsa Wpa yazın,Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,18 800 AZN
"Kia Rio,1.4 L,2013 il,256 000 km","ŞəhərBakıMarkaKiaModelRioBuraxılış ili2013Ban növüSedanRəngAğMühərrik1.4 L / 107 a.g. / BenzinYürüş256 000 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənibHansı bazar üçün yığılıbKoreya - Davamını oxuBuraxılış ili 2013, alış 2014, Maşın ideal vəziyyətdədir. Udar yoxdur. Ancaq buferlərdə boya var. Birdə kosmetik işlərə ehtiyacı var. Çox ekenom maşındır. Şəhərdə 6 litr, trasda 4 litr benzin sərfiyyatı var. Qiymətdə endirim olacaq - Yüngül lehimli disklərABSKondisionerArxa görüntü kamerasıYan pərdələr - Düzəliş etElanı silElanın nömrəsi: 9465810","Buraxılış ili 2013, alış 2014, Maşın ideal vəziyyətdədir. Udar yoxdur. Ancaq buferlərdə boya var. Birdə kosmetik işlərə ehtiyacı var. Çox ekenom maşındır. Şəhərdə 6 litr, trasda 4 litr benzin sərfiyyatı var. Qiymətdə endirim olacaq",Yüngül lehimli disklərABSKondisionerArxa görüntü kamerasıYan pərdələr,13 600 AZN
"Hyundai Sonata,2.0 L,2019 il,80 000 km","ŞəhərBakıMarkaHyundaiModelSonataBuraxılış ili2019Ban növüSedanRəngQaraMühərrik2.0 L / 165 a.g. / BenzinYürüş80 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrVəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxu-İstənilən yerdə yoxlatdıra bilərsiz-Xahiş olunur zeng ederken qiymətlə bağlı müzakirə aparmayin!-Barter yalniz avtomobille mümkündür!Geniş Avtomobil Çeşidi,Keyfiyyətə Zəmanət Və Rahat Rəsmiləşdirmə. Bütün Avtomobillərə AUTO GROUP-da baxa bilərsiz - ABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9431034","-İstənilən yerdə yoxlatdıra bilərsiz-Xahiş olunur zeng ederken qiymətlə bağlı müzakirə aparmayin!-Barter yalniz avtomobille mümkündür!Geniş Avtomobil Çeşidi,Keyfiyyətə Zəmanət Və Rahat Rəsmiləşdirmə. Bütün Avtomobillərə AUTO GROUP-da baxa bilərsiz",ABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerası,37 600 AZN
